event_cluster_id,cluster_size,n_units,n_publishers,n_duplicate_families,first_published_at,last_published_at,span_days,mean_intra_similarity,publishers,duplicate_families,article_ids,sample_titles
evt_bf94a8badb55,2,2,1,0,2026-08-21T12:05:52+00:00,2026-08-24T12:54:21+00:00,3.034,0.7874,vietnamnet.vn,,39579b0717bdf1f5; 960e9db39c4b6636,"Tìm thấy thêm 24 hài cốt liệt sĩ cùng khăn, chai dầu gió ở công viên Lê Thị Riêng | Bộ đội đào 900m³ đất, phát hiện thêm 26 hài cốt liệt sĩ ở công viên Lê Thị Riêng"
evt_b98585db8474,2,2,1,0,2026-08-21T12:06:23+00:00,2026-08-24T03:22:14+00:00,2.636,0.7182,vietnamnet.vn,,a970fbd94c92c5a9; 0b0f86c8f6b81b3e,"Người dân kể phút lốc xoáy cuốn qua: &apos;Gió rít mạnh, các con tôi hoảng loạn bỏ chạy&apos; | Nhân chứng kể phút đá lở thủng nhiều nhà ở Lạng Sơn"
evt_1066c672ac08,5,5,1,0,2026-08-22T06:00:18.000000238+00:00,2026-08-24T07:56:56.999999762+00:00,2.081,0.8385,vietnamnet.vn,,ce6a56a570b5c07c; 6b222f705488b4ba; 7d254a841f2c5c41; 71be35ef07b05886; b38e30766954b011,"Bão số 4 tên quốc tế Narra, có thể &apos;ở lì&apos; trên Vịnh Bắc Bộ 4 ngày | Bão số 4 Narra đi chậm bất thường, liên tục đổi hướng, miền Bắc mưa lớn &apos;như trút nước&apos; | Bão số 4 Narra mạnh lên, tiếp tục đổi hướng, mưa lớn nhiều nơi | Bão số 4 Narra bắt đầu ngoặt ra ngoài, miền Bắc khi nào giảm mưa lớn? | Bão số 4 Narra cách Hải Phòng 145km, liên tục ‘nhúc nhích’ đổi hướng"
evt_af958af6c505,2,2,1,0,2026-08-22T12:38:50.999999762+00:00,2026-08-23T12:25:38.999999762+00:00,0.991,0.7067,vietnamnet.vn,,5f94c1a57a290f6c; b52554bdecf06ae8,"Tin thời sự 22/8: Khởi tố TikToker Phạm Tuấn, bão số 4 gây mưa lớn diện rộng | Tin tức Thời sự 23/8: Bão số 4 Narra mạnh lên, cháy căn hộ chung cư TPHCM"
evt_70fb3af47d86,2,2,1,0,2026-08-22T16:40:37+00:00,2026-08-24T08:55:10+00:00,1.677,0.7329,vietnamnet.vn,,8e0fc55f0ff71ebc; f459ca6275065752,"Bắc Ninh phát báo động II trên sông Lục Nam, nhiều nơi ngập sâu, sạt lở | Bão số 4 Narra: Lạng Sơn ngập sâu, nước dâng mấp mé tầng 2"
evt_1185d8e9c10a,5,4,1,1,2026-08-22T16:50:51+00:00,2026-08-27T02:23:27+00:00,4.398,0.8395,vietnamnet.vn,dupfam_effca3d27c6d,d82098c238690f97; e085c345c9b0b7f4; 67190b7a45109b90; 0feea08b6ada8155; e46ff5c8086409cd,"Người Hà Nội đổ ra đường &apos;đi bão&apos; trong mưa lớn sau chiến thắng của tuyển Việt Nam | Người hâm mộ Hà Nội đội mưa mừng tuyển Việt Nam thắng Thái Lan | Biển người TPHCM &apos;đi bão&apos; xuyên đêm mừng tuyển Việt Nam chiến thắng | Biển người TPHCM &apos;đi bão&apos; xuyên đêm mừng tuyển Việt Nam vô địch | TPHCM đêm không ngủ, rực sắc đỏ mừng Việt Nam vô địch"
evt_8c332d0952ad,3,3,1,0,2026-08-22T17:44:39+00:00,2026-08-27T09:46:17+00:00,4.668,0.7679,vietnamnet.vn,,e4715b06cec46154; 9b35c258071c4f26; db3de51887bec697,"Cổ động viên TPHCM vỡ òa, xuống đường ăn mừng chiến thắng của tuyển Việt Nam | Phố đi bộ Nguyễn Huệ bùng nổ sau chiến thắng của tuyển Việt Nam | Độc lạ dụng cụ ‘đi bão’ của người Hà Nội mừng tuyển Việt Nam vô địch"
evt_0e9e7ee5a3c3,2,2,1,0,2026-08-23T10:12:03+00:00,2026-08-24T09:38:26+00:00,0.977,0.8921,vietnamnet.vn,,27ca85d09fe3182e; 9d0819063c0f2e7e,"Quốc lộ 4B qua Lạng Sơn đứt gãy nghiêm trọng | Sạt trượt làm đứt gãy Quốc lộ 4B, tạm dừng ô tô qua Lạng Sơn"
evt_69a0bf5114aa,3,3,1,0,2026-08-23T11:01:00+00:00,2026-08-26T11:54:20+00:00,3.037,0.7428,vietnamnet.vn,,dc116c4ddadfebd1; 7d75730c709be405; 8b26e66b9f645a84,"Bão số 4 dị thường xoay hướng liên tục, mưa lũ miền Bắc khó lường | Bão số 4 Narra đang di chuyển ra phía ngoài, tiếp tục xoay hướng | Vùng áp thấp từ bão số 4 Narra đang tan, miền Bắc sắp đón đợt mưa lớn mới"
evt_9b1c56c0d4cb,5,5,1,0,2026-08-24T01:16:39+00:00,2026-08-28T22:20:00+00:00,4.877,0.8547,vietnamnet.vn,,67aee08e66f4a975; 27f6d77766e6e5ee; 5de115e3792bb429; 44b583be60b8f385; c5111153a6dee4c2,"Dự báo thời tiết 24/8/2026: Bão số 4 còn trên Vịnh Bắc Bộ, 4 tỉnh thành mưa lớn | Dự báo thời tiết 25/8/2026: Bão số 4 dồn mưa lớn về 3 tỉnh, miền Bắc mưa rải rác | Dự báo thời tiết 27/8/2026: Miền Bắc mưa to cục bộ, Trung Bộ nắng nóng mạnh | Dự báo thời tiết 28/8/2026: Miền Bắc mưa rải rác trước khi hứng tiếp đợt mưa lớn | Dự báo thời tiết 29/8/2026: Miền Bắc vẫn mưa to cục bộ, Hà Nội giảm còn 32 độ"
