distance_threshold,window_days,linkage,is_previous_baseline,total_events,multi_article_events,singleton_events,singleton_article_share,articles_in_multi_article_events,cross_publisher_events,events_ge_10_articles,largest_event_size,max_span_days,mean_span_days_multi,mean_intra_similarity_multi
0.2,3.0,average,False,1114,78,1036,0.8471,187,14,0,7,2.928,0.785,0.8586
0.2,3.0,complete,False,1121,83,1038,0.8487,185,14,0,5,2.928,0.779,0.8633
0.2,5.0,average,False,1108,80,1028,0.8406,195,14,0,7,4.95,1.086,0.8576
0.2,5.0,complete,False,1114,85,1029,0.8414,194,15,0,6,4.95,1.033,0.8605
0.2,10.0,average,False,1096,81,1015,0.8299,208,14,0,9,9.901,2.193,0.8543
0.2,10.0,complete,False,1104,89,1015,0.8299,208,15,0,6,9.901,2.045,0.8591
0.25,3.0,average,False,1059,112,947,0.7743,276,21,0,8,2.987,0.85,0.8222
0.25,3.0,complete,False,1071,120,951,0.7776,272,21,0,5,2.964,0.801,0.8275
0.25,5.0,average,False,1044,116,928,0.7588,295,24,1,10,4.996,1.307,0.8156
0.25,5.0,complete,False,1056,125,931,0.7612,292,24,0,7,4.996,1.244,0.8212
0.25,10.0,average,False,1026,125,901,0.7367,322,24,1,10,9.901,2.529,0.8142
0.25,10.0,complete,False,1039,135,904,0.7392,319,24,0,6,9.901,2.341,0.8193
0.3,3.0,average,False,992,147,845,0.6909,378,24,1,11,2.987,1.005,0.7841
0.3,3.0,complete,False,1010,158,852,0.6966,371,23,0,6,2.964,0.922,0.7922
0.3,5.0,average,False,964,160,804,0.6574,419,27,2,11,4.996,1.602,0.7783
0.3,5.0,complete,False,985,174,811,0.6631,412,26,0,7,4.996,1.535,0.7865
0.3,10.0,average,False,937,169,768,0.628,455,28,3,13,9.901,2.763,0.777
0.3,10.0,complete,False,959,186,773,0.6321,450,27,0,6,9.901,2.67,0.7855
0.35,3.0,average,False,890,196,694,0.5675,529,37,1,13,2.987,1.111,0.7387
0.35,3.0,complete,False,923,212,711,0.5814,512,34,0,7,2.964,1.022,0.7497
0.35,5.0,average,False,854,199,655,0.5356,568,39,4,13,4.996,1.844,0.7326
0.35,5.0,complete,False,891,219,672,0.5495,551,37,1,10,4.996,1.668,0.7462
0.35,10.0,average,True,814,215,599,0.4898,624,39,5,16,9.992,3.296,0.7335
0.35,10.0,complete,False,856,237,619,0.5061,604,37,2,13,9.992,3.028,0.7448
